ID_Produto,Data_Producao,Tempo_Producao,Tempo_Setup,Quantidade_Produzida,Lead_Time,Eficiencia_Producao,Utilizacao_Maquina,Custo_Producao
P0001,2024-01-25,42,50,16,92,0.38095238095238093,2.4664967524459428e-05,46.0
P0002,2024-01-22,149,21,40,170,0.2684563758389262,8.750190859867748e-05,85.0
P0003,2024-01-18,182,23,100,205,0.5494505494505495,0.00010688152593932418,102.5
P0004,2024-01-23,66,16,83,82,1.2575757575757576,3.8759234681293387e-05,41.0
P0005,2024-01-24,105,10,89,115,0.8476190476190476,6.166241881114857e-05,57.5
P0006,2024-01-15,146,14,89,160,0.6095890410958904,8.574012520407324e-05,80.0
P0007,2024-01-29,39,46,77,85,1.9743589743589745,2.2903184129855183e-05,42.5
P0008,2024-01-12,173,34,49,207,0.2832369942196532,0.00010159617575551144,103.5
P0009,2024-01-30,104,54,63,158,0.6057692307692307,6.107515767961381e-05,79.0
P0010,2024-01-04,178,45,38,223,0.21348314606741572,0.00010453248141318519,111.5
P0011,2024-01-18,67,41,94,108,1.4029850746268657,3.934649581282813e-05,54.0
P0012,2024-01-18,182,44,23,226,0.12637362637362637,0.00010688152593932418,113.0
P0013,2024-01-19,139,58,98,197,0.7050359712230215,8.162929728333e-05,98.5
P0014,2024-01-08,189,14,86,203,0.455026455026455,0.00011099235386006741,101.5
P0015,2024-01-24,214,23,52,237,0.24299065420560748,0.00012567388214843611,118.5
P0016,2024-01-17,137,50,80,187,0.583941605839416,8.04547750202605e-05,93.5
P0017,2024-01-17,120,30,70,150,0.5833333333333334,7.04713357841698e-05,75.0
P0018,2024-01-18,182,15,32,197,0.17582417582417584,0.00010688152593932418,98.5
P0019,2024-01-31,166,19,62,185,0.37349397590361444,9.748534783476821e-05,92.5
P0020,2024-01-17,185,22,34,207,0.1837837837837838,0.00010864330933392842,103.5
P0021,2024-01-30,205,31,12,236,0.05853658536585366,0.00012038853196462339,118.0
P0022,2024-01-31,151,13,15,164,0.09933774834437085,8.867643086174699e-05,82.0
P0023,2024-01-24,49,57,94,106,1.9183673469387754,2.8775795445202665e-05,53.0
P0024,2024-01-27,43,53,76,96,1.7674418604651163,2.5252228655994175e-05,48.0
P0025,2024-01-10,144,12,82,156,0.5694444444444444,8.456560294100375e-05,78.0
P0026,2024-01-01,119,14,53,133,0.44537815126050423,6.988407465263504e-05,66.5
P0027,2024-01-24,82,38,85,120,1.0365853658536586,4.8155412785849355e-05,60.0
P0028,2024-01-15,195,56,81,251,0.4153846153846154,0.0001145159206492759,125.5
P0029,2024-01-03,130,31,50,161,0.38461538461538464,7.634394709951727e-05,80.5
P0030,2024-01-19,159,10,92,169,0.5786163522012578,9.337451991402498e-05,84.5
P0031,2024-01-04,202,28,59,230,0.29207920792079206,0.00011862674857001915,115.0
P0032,2024-01-21,216,19,65,235,0.30092592592592593,0.00012684840441150563,117.5
