ID_Produto,Data_Producao,Tempo_Producao,Tempo_Setup,Quantidade_Produzida
P0001,2024-01-25,42,50,16
P0002,2024-01-22,149,21,40
P0003,2024-01-18,182,23,100
P0004,2024-01-23,66,16,83
P0005,2024-01-24,105,10,89
P0006,2024-01-15,146,14,89
P0007,2024-01-29,39,46,77
P0008,2024-01-12,173,34,49
P0009,2024-01-30,104,54,63
P0010,2024-01-04,178,45,38
P0011,2024-01-18,67,41,94
P0012,2024-01-18,182,44,23
P0013,2024-01-19,139,58,98
P0014,2024-01-08,189,14,86
P0015,2024-01-24,214,23,52
P0016,2024-01-17,137,50,80
P0017,2024-01-17,120,30,70
P0018,2024-01-18,182,15,32
P0019,2024-01-31,166,19,62
P0020,2024-01-17,185,22,34
P0021,2024-01-30,205,31,12
P0022,2024-01-31,151,13,15
P0023,2024-01-24,49,57,94
P0024,2024-01-27,43,53,76
P0025,2024-01-10,144,12,82
P0026,2024-01-01,119,14,53
P0027,2024-01-24,82,38,85
P0028,2024-01-15,195,56,81
P0029,2024-01-03,130,31,50
P0030,2024-01-19,159,10,92
P0031,2024-01-04,202,28,59
P0032,2024-01-21,216,19,65
P0033,2024-01-19,158,43,100
P0034,2024-01-25,130,35,16
P0035,2024-01-01,53,50,94
P0036,2024-01-17,87,37,39
P0037,2024-01-08,55,31,18
P0038,2024-01-15,40,10,20
P0039,2024-01-27,54,51,91
P0040,2024-01-01,212,54,62
P0041,2024-01-03,78,46,40
P0042,2024-01-07,70,18,73
P0043,2024-01-03,82,54,25
P0044,2024-01-12,145,31,42
P0045,2024-01-02,170,11,96
P0046,2024-01-21,187,37,97
P0047,2024-01-21,89,29,26
P0048,2024-01-13,146,53,100
P0049,2024-01-31,118,57,89
P0050,2024-01-18,123,38,90
P0051,2024-01-13,177,18,48
P0052,2024-01-25,73,52,26
P0053,2024-01-11,206,48,84
P0054,2024-01-27,174,51,94
P0055,2024-01-27,158,53,64
P0056,2024-01-24,102,38,100
P0057,2024-01-19,135,46,99
P0058,2024-01-07,116,17,77
P0059,2024-01-08,165,47,21
P0060,2024-01-24,144,12,33
P0061,2024-01-21,77,41,19
P0062,2024-01-30,108,56,62
P0063,2024-01-16,35,30,68
P0064,2024-01-16,176,21,57
P0065,2024-01-26,73,57,55
P0066,2024-01-16,57,43,89
P0067,2024-01-16,75,23,48
P0068,2024-01-17,126,47,36
P0069,2024-01-31,121,32,26
P0070,2024-01-22,144,57,73
P0071,2024-01-25,135,40,87
P0072,2024-01-30,206,31,100
P0073,2024-01-01,178,13,65
P0074,2024-01-21,100,22,88
P0075,2024-01-24,105,56,85
P0076,2024-01-22,183,41,85
P0077,2024-01-17,45,43,51
P0078,2024-01-25,142,59,83
P0079,2024-01-19,196,59,10
P0080,2024-01-22,167,31,74
P0081,2024-01-04,134,17,12
P0082,2024-01-08,34,24,86
P0083,2024-01-23,31,48,98
P0084,2024-01-17,154,34,56
P0085,2024-01-16,100,34,59
P0086,2024-01-14,36,30,89
P0087,2024-01-09,186,60,69
P0088,2024-01-03,93,26,90
P0089,2024-01-31,212,36,98
P0090,2024-01-15,132,40,49
P0091,2024-01-14,99,33,35
P0092,2024-01-20,88,19,25
P0093,2024-01-18,109,46,23
P0094,2024-01-12,173,25,76
P0095,2024-01-14,220,15,89
P0096,2024-01-04,60,34,98
P0097,2024-01-11,174,21,89
P0098,2024-01-26,228,36,53
P0099,2024-01-05,63,43,48
P0100,2024-01-25,77,12,100
P0101,2024-01-06,99,25,25
P0102,2024-01-29,136,19,38
P0103,2024-01-30,36,34,47
P0104,2024-01-26,187,58,66
P0105,2024-01-21,216,59,87
P0106,2024-01-07,139,19,21
P0107,2024-01-22,83,20,25
P0108,2024-01-31,57,16,27
P0109,2024-01-17,59,48,64
P0110,2024-01-23,192,45,12
P0111,2024-01-06,210,11,78
P0112,2024-01-05,93,50,90
P0113,2024-01-05,78,60,67
P0114,2024-01-07,224,43,100
P0115,2024-01-06,127,20,42
P0116,2024-01-07,186,20,63
P0117,2024-01-04,124,51,50
P0118,2024-01-23,222,45,49
P0119,2024-01-24,181,56,54
P0120,2024-01-05,49,45,49
P0121,2024-01-28,120,18,86
P0122,2024-01-17,51,26,14
P0123,2024-01-30,143,48,74
P0124,2024-01-10,186,36,78
P0125,2024-01-22,142,54,13
P0126,2024-01-17,73,50,83
P0127,2024-01-23,34,48,45
P0128,2024-01-02,36,35,45
P0129,2024-01-25,137,60,56
P0130,2024-01-31,159,25,77
P0131,2024-01-15,78,22,98
P0132,2024-01-15,201,15,82
P0133,2024-01-27,181,19,88
P0134,2024-01-02,92,51,21
P0135,2024-01-27,87,56,75
P0136,2024-01-13,137,11,51
P0137,2024-01-11,40,40,26
P0138,2024-01-16,186,52,91
